Model,Train_R2,Test_R2,MAE,RMSE
Random_Forest,0.9547606512188539,0.7299646695269159,223.4067230956473,329.8601125739406
LightGBM,0.9140837523955035,0.7013394090592295,250.98509949057214,346.9033295396681
XGBoost,0.9023014903068542,0.7200717329978943,252.4552764892578,335.84808693812744
Linear_Regression,0.7425086015548596,0.6564656628941534,304.1803472041677,372.05280601100304
